Dato,Asset,RSI,MA10,MA30,Pris,Handling,Forklaring
2025-02-14,BTC-USD,38.1,97421.88,99403.71,97508.97,Ingen handling,
2025-02-14,ETH-USD,34.4,2712.09,3097.26,2726.09,Ingen handling,
2025-02-14,XRP-USD,38.1,2.5,2.75,2.74,Ingen handling,
2025-02-14,KOG.OL,11.4,1215.9,1269.3,1151.0,KJØPTE KOG.OL for 300.0,RSI < 30 og MA10 < MA30
2025-02-14,NHY.OL,52.3,66.6,66.17,65.82,Ingen handling,
2025-02-14,SAAB-B.ST,57.7,228.54,230.63,244.6,Ingen handling,
2025-02-17,BTC-USD,36.3,96858.67,99325.91,95773.38,Ingen handling,
2025-02-17,ETH-USD,37.7,2697.95,3068.54,2743.2,Ingen handling,
2025-02-17,XRP-USD,35.5,2.49,2.76,2.66,Ingen handling,
2025-02-17,KOG.OL,32.3,1205.1,1268.6,1230.0,Ingen handling,
2025-02-17,NHY.OL,57.9,66.75,66.33,67.52,Ingen handling,
2025-02-17,SAAB-B.ST,72.8,232.62,232.36,284.15,Ingen handling,
2025-02-18,BTC-USD,27.4,96625.44,99279.8,95539.55,KJØPTE BTC-USD for 210.0,RSI < 30 og MA10 < MA30
2025-02-18,ETH-USD,34.2,2691.38,3044.79,2669.34,Ingen handling,
2025-02-18,XRP-USD,32.8,2.49,2.77,2.56,Ingen handling,
2025-02-18,KOG.OL,32.9,1197.0,1268.23,1245.0,Ingen handling,
2025-02-18,NHY.OL,48.3,66.7,66.43,65.88,Ingen handling,
2025-02-18,SAAB-B.ST,73.0,237.46,234.33,286.0,Ingen handling,
2025-02-19,BTC-USD,27.7,96627.46,99332.87,96635.61,KJØPTE BTC-USD for 147.0,RSI < 30 og MA10 < MA30
2025-02-19,ETH-USD,29.7,2684.18,3024.44,2715.77,KJØPTE ETH-USD for 102.9,RSI < 30 og MA10 < MA30
2025-02-19,XRP-USD,37.8,2.53,2.78,2.74,Ingen handling,
2025-02-19,KOG.OL,40.5,1194.1,1267.33,1281.0,Ingen handling,
2025-02-19,NHY.OL,43.6,66.7,66.54,66.06,Ingen handling,
2025-02-19,SAAB-B.ST,74.4,243.04,236.31,294.15,Ingen handling,
2025-02-20,BTC-USD,38.4,96801.52,99527.87,98333.94,Ingen handling,
2025-02-20,ETH-USD,28.3,2689.38,3008.47,2740.39,KJØPTE ETH-USD for 72.03,RSI < 30 og MA10 < MA30
2025-02-20,XRP-USD,38.9,2.57,2.79,2.69,Ingen handling,
2025-02-20,KOG.OL,41.6,1194.0,1268.13,1285.0,Ingen handling,
2025-02-20,NHY.OL,52.8,66.61,66.65,67.76,Ingen handling,
2025-02-20,SAAB-B.ST,73.0,249.69,238.33,294.05,Ingen handling,
2025-02-21,BTC-USD,35.9,96761.17,99575.34,96125.55,Ingen handling,
2025-02-21,ETH-USD,38.2,2693.12,2988.21,2659.66,Ingen handling,
2025-02-21,XRP-USD,45.1,2.58,2.8,2.57,Ingen handling,
2025-02-21,KOG.OL,49.9,1206.9,1271.13,1337.0,Ingen handling,
2025-02-21,NHY.OL,51.4,66.48,66.72,66.44,Ingen handling,
2025-02-21,SAAB-B.ST,73.0,258.04,240.55,296.85,Ingen handling,
2025-02-24,BTC-USD,33.8,96159.23,99472.06,91418.17,Ingen handling,
2025-02-24,ETH-USD,38.4,2678.39,2967.49,2513.82,Ingen handling,
2025-02-24,XRP-USD,41.2,2.57,2.79,2.28,Ingen handling,
2025-02-24,KOG.OL,49.9,1226.1,1274.67,1325.0,Ingen handling,
2025-02-24,NHY.OL,51.4,66.44,66.77,66.78,Ingen handling,
2025-02-24,SAAB-B.ST,77.3,266.2,242.89,299.7,Ingen handling,
2025-02-25,BTC-USD,31.5,95458.11,99212.13,88736.17,Ingen handling,
2025-02-25,ETH-USD,34.0,2667.47,2943.15,2493.59,Ingen handling,
2025-02-25,XRP-USD,47.7,2.56,2.78,2.32,Ingen handling,
2025-02-25,KOG.OL,54.6,1247.6,1278.47,1348.0,Ingen handling,
2025-02-25,NHY.OL,51.8,66.53,66.81,66.62,Ingen handling,
2025-02-25,SAAB-B.ST,79.1,275.38,245.5,310.05,Ingen handling,
2025-02-26,BTC-USD,26.2,94104.22,98673.55,84347.02,KJØPTE BTC-USD for 50.42,RSI < 30 og MA10 < MA30
2025-02-26,ETH-USD,31.8,2626.92,2905.85,2331.45,Ingen handling,
2025-02-26,XRP-USD,45.3,2.53,2.75,2.19,Ingen handling,
2025-02-26,KOG.OL,59.9,1270.8,1282.83,1367.0,Ingen handling,
2025-02-26,NHY.OL,46.0,66.72,66.83,67.54,Ingen handling,
