Logg
KJØPTE KOG.OL for 300.0 | RSI: 11.4 | Pris: 1151.0
KJØPTE BTC-USD for 210.0 | RSI: 27.4 | Pris: 95539.55
KJØPTE BTC-USD for 147.0 | RSI: 27.7 | Pris: 96635.61
KJØPTE ETH-USD for 102.9 | RSI: 29.7 | Pris: 2715.77
KJØPTE ETH-USD for 72.03 | RSI: 28.3 | Pris: 2740.39
KJØPTE BTC-USD for 50.42 | RSI: 26.2 | Pris: 84347.02
KJØPTE BTC-USD for 35.29 | RSI: 27.3 | Pris: 84704.23
KJØPTE BTC-USD for 24.71 | RSI: 24.3 | Pris: 84373.01
KJØPTE ETH-USD for 17.29 | RSI: 28.1 | Pris: 2237.91
SOLGTE KOG.OL for 355.78 | RSI: 88.7 | Pris: 1365.0
KJØPTE ETH-USD for 118.84 | RSI: 27.2 | Pris: 2145.57
KJØPTE BTC-USD for 83.19 | RSI: 28.2 | Pris: 87222.2
KJØPTE ETH-USD for 58.23 | RSI: 18.2 | Pris: 2170.02
KJØPTE ETH-USD for 40.76 | RSI: 26.0 | Pris: 2241.98
KJØPTE ETH-USD for 28.53 | RSI: 20.7 | Pris: 2202.48
KJØPTE ETH-USD for 19.97 | RSI: 17.8 | Pris: 2138.99
KJØPTE BTC-USD for 13.98 | RSI: 26.3 | Pris: 78532.0
KJØPTE ETH-USD for 9.79 | RSI: 14.6 | Pris: 1861.15
KJØPTE ETH-USD for 6.85 | RSI: 15.6 | Pris: 1919.84
KJØPTE ETH-USD for 4.8 | RSI: 13.6 | Pris: 1908.98
KJØPTE ETH-USD for 3.36 | RSI: 14.0 | Pris: 1862.97
KJØPTE ETH-USD for 2.35 | RSI: 20.0 | Pris: 1909.47
KJØPTE ETH-USD for 1.64 | RSI: 21.8 | Pris: 1927.0
KJØPTE ETH-USD for 1.15 | RSI: 26.5 | Pris: 1932.54
KJØPTE NHY.OL for 0.81 | RSI: 29.4 | Pris: 61.66
KJØPTE NHY.OL for 0.56 | RSI: 24.6 | Pris: 60.32
KJØPTE NHY.OL for 0.39 | RSI: 26.2 | Pris: 59.96
KJØPTE NHY.OL for 0.28 | RSI: 17.8 | Pris: 58.58
